Pais,Code,Pib pc
Aruba,ABW,24485.0833
Afghanistan,AFG,571.542506
Angola,AGO,3409.92928
Albania,ALB,4865.20955
Andorra,AND,43858.0775
Arab World,ARB,6444.24926
United Arab Emirates,ARE,40697.8181
Argentina,ARG,10404.2635
Armenia,ARM,4198.79475
American Samoa,ASM,9048.18252
Antigua and Barbuda,ATG,14220.5021
Australia,AUS,56095.1863
Austria,AUT,49112.7329
Azerbaijan,AZE,5739.59455
Burundi,BDI,214.139246
Belgium,BEL,46680.2075
Benin,BEN,862.897042
Burkina Faso,BFA,685.883937
Bangladesh,BGD,1127.27177
Bulgaria,BGR,8331.15227
Bahrain,BHR,22126.6882
"Bahamas, The",BHS,27113.6754
Bosnia and Herzegovina,BIH,5773.3731
Belarus,BLR,6536.0121
Belize,BLZ,4203.95912
Bermuda,BMU,
Bolivia,BOL,2490.95631
Brazil,BRA,10990.1848
Barbados,BRB,16121.2263
Brunei Darussalam,BRN,31752.7408
Bhutan,BTN,3072.0203
Botswana,BWA,7859.43648
Central African Republic,CAF,370.747107
Canada,CAN,51150.7546
Central Europe and the Baltics,CEB,15569.7753
Switzerland,CHE,77684.0663
Channel Islands,CHI,
Chile,CHL,14748.5106
China,CHN,7308.06537
Cote d'Ivoire,CIV,1616.16936
Cameroon,CMR,1480.28788
"Congo, Dem. Rep.",COD,408.924793
"Congo, Rep.",COG,2693.4285
Colombia,COL,7613.72658
Comoros,COM,1385.56964
Cabo Verde,CPV,3619.62102
Costa Rica,CRI,9732.26938
Caribbean small states,CSS,8901.06768
Cuba,CUB,6666.33173
Curacao,CUW,
Cayman Islands,CYM,76285.3841
Cyprus,CYP,30100.1556
Czech Republic,CZE,22754.7526
Germany,DEU,46916.8242
Djibouti,DJI,
Dominica,DMA,6561.40371
Denmark,DNK,62733.0198
Dominican Republic,DOM,7273.35537
Algeria,DZA,4793.8667
East Asia & Pacific (excluding high income),EAP,6125.61274
Early-demographic dividend,EAR,3569.7799
East Asia & Pacific,EAS,9908.68526
Europe & Central Asia (excluding high income),ECA,9334.50237
